,batsman,Runs_scored,Balls_Faced,Matches_played,Fours,Sixes,Fifties,Hundreds,Highest_score,Average,Strike_rate,Strike_rate_6_Overs,Strike_rate_7-14_Overs,Strike_rate_16-20_Overs
160,MR Marsh,225,202,15,9.0,14.0,0.0,0.0,38,17.307692307692307,111.38613861386139,0.0,93.93939393939394,0.0
161,PJ Cummins,223,176,19,14.0,12.0,1.0,0.0,53,17.153846153846153,126.70454545454545,20.0,96.61016949152543,20.0
162,K Goel,218,239,16,17.0,9.0,0.0,0.0,38,15.571428571428571,91.2133891213389,94.79768786127168,68.57142857142857,94.79768786127168
163,AA Jhunjhunwala,217,218,15,19.0,5.0,1.0,0.0,53,15.5,99.54128440366972,55.357142857142854,107.33944954128441,55.357142857142854
164,TM Head,205,151,10,12.0,8.0,1.0,0.0,75,34.166666666666664,135.76158940397352,66.66666666666667,130.88235294117646,66.66666666666667
165,CA Ingram,205,183,15,22.0,5.0,0.0,0.0,47,17.083333333333332,112.02185792349727,70.37037037037037,108.84955752212389,70.37037037037037
166,RD Gaikwad,204,173,6,16.0,6.0,3.0,0.0,72,68.0,117.91907514450867,93.82716049382717,137.70491803278688,93.82716049382717
167,PD Collingwood,203,159,7,9.0,13.0,3.0,0.0,75,50.75,127.67295597484276,112.5,104.8780487804878,112.5
168,SK Warne,198,219,27,14.0,6.0,0.0,0.0,34,10.421052631578947,0.0,0.0,0.0,0.0
169,SP Fleming,196,171,10,27.0,3.0,0.0,0.0,45,21.77777777777778,114.61988304093568,111.53846153846153,124.39024390243902,111.53846153846153
170,JC Archer,195,128,21,11.0,14.0,0.0,0.0,27,15.0,152.34375,0.0,118.18181818181819,0.0
171,AS Raut,194,172,16,13.0,7.0,0.0,0.0,36,17.636363636363637,112.79069767441861,83.33333333333333,123.07692307692308,83.33333333333333
172,Salman Butt,193,172,7,30.0,2.0,1.0,0.0,73,27.571428571428573,112.20930232558139,101.72413793103448,118.0,101.72413793103448
173,BJ Rohrer,193,145,8,21.0,5.0,1.0,0.0,64,32.166666666666664,133.10344827586206,100.0,104.62962962962963,100.0
174,YV Takawale,192,183,10,26.0,3.0,0.0,0.0,45,24.0,104.91803278688525,88.96551724137932,136.0,88.96551724137932
175,Bipul Sharma,187,124,17,11.0,9.0,0.0,0.0,35,31.166666666666668,0.0,0.0,0.0,0.0
176,K Gowtham,186,113,19,13.0,12.0,0.0,0.0,33,14.307692307692308,164.60176991150442,133.33333333333334,131.57894736842104,133.33333333333334
177,Washington Sundar,186,154,21,15.0,6.0,0.0,0.0,35,15.5,120.77922077922078,33.333333333333336,101.33333333333333,33.333333333333336
178,FY Fazal,183,179,11,22.0,1.0,0.0,0.0,45,20.333333333333332,102.23463687150839,94.56521739130434,107.4074074074074,94.56521739130434
179,B Kumar,183,199,42,17.0,3.0,0.0,0.0,24,7.625,0.0,0.0,0.0,0.0
180,CR Brathwaite,181,120,14,10.0,16.0,0.0,0.0,43,12.928571428571429,0.0,0.0,0.0,0.0
181,AC Voges,181,143,7,15.0,3.0,0.0,0.0,45,30.166666666666668,126.57342657342657,84.61538461538461,114.86486486486487,84.61538461538461
182,AB Agarkar,179,160,18,13.0,5.0,0.0,0.0,39,22.375,111.875,133.33333333333334,72.34042553191489,133.33333333333334
