,bowler,matches,total_wickets,total_balls_bowled,total_runs,dot_balls,extra_runs,average,strike_rate,economy,best_figure,boundaries_4-6,most_balls_in_single_over
410,Washington Sundar,35,24.0,2332,758,240.0,19,31.583333333333332,97.16666666666667,6.954128440366972,3-16,46-32,8
251,Mustafizur Rahman,24,24.0,1996,693,197.0,21,28.875,83.16666666666667,7.532608695652174,3-16,56-22,8
368,SW Tait,21,23.0,2087,668,200.0,111,29.043478260869566,90.73913043478261,8.246913580246913,3-15,71-12,9
165,JP Duminy,49,23.0,2521,847,234.0,45,36.82608695652174,109.6086956521739,7.3652173913043475,4-19,53-33,8
121,GB Hogg,21,23.0,1655,585,159.0,33,25.434782608695652,71.95652173913044,7.597402597402597,4-30,40-21,7
352,SM Curran,22,23.0,1724,673,145.0,28,29.26086956521739,74.95652173913044,8.855263157894736,4-13,67-20,8
10,A Nortje,16,22.0,1346,529,149.0,27,24.045454545454547,61.18181818181818,8.53225806451613,3-34,55-22,8
379,Sohail Tanvir,11,22.0,982,275,121.0,29,12.5,44.63636363636363,6.5476190476190474,6-15,27-7,8
367,STR Binny,63,22.0,2200,763,199.0,22,34.68181818181818,100.0,7.707070707070707,2-14,76-14,8
70,BW Hilfenhaus,17,22.0,1432,497,173.0,36,22.59090909090909,65.0909090909091,8.016129032258064,3-27,48-21,8
14,A Zampa,14,21.0,1037,373,90.0,12,17.761904761904763,49.38095238095238,7.770833333333333,6-19,15-20,7
82,CJ Jordan,20,21.0,1544,620,119.0,50,29.523809523809526,73.52380952380952,9.538461538461538,4-12,51-24,8
